,1,2,3,4,5,6,total
DÉMARE Arnaud,0,0,0,0,0,0,0
COSTIOU Ewen,0,0,0,0,0,0,0
GARCÍA PIERNA Raúl,0,0,0,0,0,0,0
LE BERRE Mathis,0,0,0,0,0,0,0
VENTURINI Clément,0,0,0,0,0,0,0
REINDERS Elmar,0,0,0,0,0,0,0
SCHMID Mauro,0,0,0,0,0,0,0
MEZGEC Luka,0,0,0,0,0,0,0
OLIVEIRA Nelson,0,0,0,0,0,0,0
MAS Enric,0,0,0,0,0,0,0
RODRÍGUEZ Cristián,0,0,0,0,0,0,0
MÜHLBERGER Gregor,0,0,0,0,0,0,0
RUBIO Einer,0,0,0,0,0,0,0
GALL Felix,0,0,0,0,0,0,0
BERTHET Clément,0,0,0,0,0,0,0
RICKAERT Jonas,0,0,0,0,0,0,0
MEURISSE Xandro,0,0,0,0,0,0,0
DILLIER Silvan,0,0,0,0,0,0,0
PACHER Quentin,0,0,0,0,0,0,0
MADOUAS Valentin,0,0,0,0,0,0,0
THEUNS Edward,0,0,0,0,0,0,0
BARTHE Cyril,0,0,0,0,0,0,0
STUYVEN Jasper,0,0,0,0,0,0,0
SKUJIŅŠ Toms,0,0,0,0,0,0,0
IZAGIRRE Ion,0,0,0,0,0,0,0
COQUARD Bryan,0,0,0,0,0,0,0
ARANBURU Alex,0,0,0,0,0,0,0
BUCHMANN Emanuel,0,0,0,0,0,0,0
TRONCHON Bastien,0,0,0,0,0,0,0
SCOTSON Callum,0,0,0,0,0,0,0
NAESEN Oliver,0,0,0,0,0,0,0
BISSEGGER Stefan,0,0,0,0,0,0,0
GARCÍA CORTINA Iván,0,0,0,0,0,0,0
FEDOROV Yevgeniy,0,0,0,0,0,0,0
CHAMPOUSSIN Clément,0,0,0,0,0,0,0
TEUNISSEN Mike,0,0,0,0,0,0,0
TOUZÉ Damien,0,0,0,0,0,0,0
BALLERINI Davide,0,0,0,0,0,0,0
HIGUITA Sergio,0,0,0,0,0,0,0
TEUNS Dylan,0,0,0,0,0,0,0
GACHIGNARD Thomas,0,0,0,0,0,0,0
DELETTRE Alexandre,0,0,0,0,0,0,0
BURGAUDEAU Mathieu,0,0,0,0,0,0,0
CRAS Steff,0,0,0,0,0,0,0
VERCHER Mattéo,0,0,0,0,0,0,0
JEGAT Jordan,0,0,0,0,0,0,0
BARGUIL Warren,0,0,0,0,0,0,0
JEANNIÈRE Emilien,0,0,0,0,0,0,0
FLYNN Sean,0,0,0,0,0,0,0
ANDRESEN Tobias Lund,0,0,0,0,0,0,0
NABERMAN Tim,0,0,0,0,0,0,0
MÄRKL Niklas,0,0,0,0,0,0,0
VAN DEN BROEK Frank,0,0,0,0,0,0,0
WOODS Michael,0,0,0,0,0,0,0
BOL Cees,0,0,0,0,0,0,0
RENARD Alexis,0,0,0,0,0,0,0
BOIVIN Guillaume,0,0,0,0,0,0,0
BLACKMORE Joseph,0,0,0,0,0,0,0
NEILANDS Krists,0,0,0,0,0,0,0
LOUVEL Matis,0,0,0,0,0,0,0
STEWART Jake,0,0,0,0,0,0,0
DE LIE Arnaud,0,0,0,0,0,0,0
DE BUYST Jasper,0,0,0,0,0,0,0
LUTSENKO Alexey,0,0,0,0,0,0,0
GRIGNARD Sébastien,0,0,0,0,0,0,0
SEPÚLVEDA Eduardo,0,0,0,0,0,0,0
VAN EETVELT Lennert,0,0,0,0,0,0,0
VAN MOER Brent,0,0,0,0,0,0,0
JOHANNESSEN Tobias Halland,0,0,0,0,0,0,0
ABRAHAMSEN Jonas,0,0,0,0,0,0,0
CORT Magnus,0,0,0,0,0,0,0
DRIZNERS Jarrad,0,0,0,0,0,0,0
FREDHEIM Stian,0,0,0,0,0,0,0
HOELGAARD Markus,0,0,0,0,0,0,0
JOHANNESSEN Anders Halland,0,0,0,0,0,0,0
LEKNESSUND Andreas,0,0,0,0,0,0,0
Tadej Pogačar,0,0,0,0,0,0,0
Wout van Aert,0,0,0,0,0,0,0
Remco Evenepoel,0,0,0,0,0,0,0
Jonas Vingegaard,0,0,0,0,0,0,0
Mathieu van der Poel,0,0,0,0,0,0,0
Mads Pedersen,0,0,0,0,0,0,0
Primož Roglič,0,0,0,0,0,0,0
Marc Hirschi,0,0,0,0,0,0,0
Demi Vollering,0,0,0,0,0,0,0
Lotte Kopecky,0,0,0,0,0,0,0
Katarzyna Niewiadoma,0,0,0,0,0,0,0
Évita Muzic,0,0,0,0,0,0,0
